prompt_id,timed_status,requested,resolved,outcome
ARG16,untimed,RG-prompt_id=ARG16-timed_status=untimed,RG-prompt_id=ARG16-timed_status=untimed,exact
ARG17,timed,RG-prompt_id=ARG17-timed_status=timed,RG-prompt_id=ARG17-timed_status=timed,exact
ARG17,untimed,RG-prompt_id=ARG17-timed_status=untimed,RG-prompt_id=ARG17-timed_status=untimed,exact
ARG18,timed,RG-prompt_id=ARG18-timed_status=timed,RG-prompt_id=ARG18,prompt_fallback
ARG18,untimed,RG-prompt_id=ARG18-timed_status=untimed,RG-prompt_id=ARG18-timed_status=untimed,exact
ARG19,timed,RG-prompt_id=ARG19-timed_status=timed,RG-genre=argumentative,genre_fallback
ARG19,untimed,RG-prompt_id=ARG19-timed_status=untimed,RG-genre=argumentative,genre_fallback
ARG20,timed,RG-prompt_id=ARG20-timed_status=timed,RG-prompt_id=ARG20,prompt_fallback
ARG20,untimed,RG-prompt_id=ARG20-timed_status=untimed,RG-prompt_id=ARG20,prompt_fallback
ARG21,timed,RG-prompt_id=ARG21-timed_status=timed,RG-prompt_id=ARG21-timed_status=timed,exact
ARG21,untimed,RG-prompt_id=ARG21-timed_status=untimed,RG-prompt_id=ARG21-timed_status=untimed,exact
ARG22,timed,RG-prompt_id=ARG22-timed_status=timed,RG-prompt_id=ARG22,prompt_fallback
ARG22,untimed,RG-prompt_id=ARG22-timed_status=untimed,RG-prompt_id=ARG22-timed_status=untimed,exact
ARG23,timed,RG-prompt_id=ARG23-timed_status=timed,RG-prompt_id=ARG23-timed_status=timed,exact
ARG23,untimed,RG-prompt_id=ARG23-timed_status=untimed,RG-prompt_id=ARG23-timed_status=untimed,exact
ARG24,timed,RG-prompt_id=ARG24-timed_status=timed,RG-prompt_id=ARG24,prompt_fallback
ARG24,untimed,RG-prompt_id=ARG24-timed_status=untimed,RG-prompt_id=ARG24-timed_status=untimed,exact
ARG25,timed,RG-prompt_id=ARG25-timed_status=timed,RG-prompt_id=ARG25,prompt_fallback
ARG25,untimed,RG-prompt_id=ARG25-timed_status=untimed,RG-prompt_id=ARG25-timed_status=untimed,exact
ARG26,timed,RG-prompt_id=ARG26-timed_status=timed,RG-prompt_id=ARG26-timed_status=timed,exact
ARG26,untimed,RG-prompt_id=ARG26-timed_status=untimed,RG-prompt_id=ARG26,prompt_fallback
EXP01,timed,RG-prompt_id=EXP01-timed_status=timed,RG-prompt_id=EXP01-timed_status=timed,exact
EXP01,untimed,RG-prompt_id=EXP01-timed_status=untimed,RG-prompt_id=EXP01,prompt_fallback
